id,HPL,EAP,MWS
id00008,0.196532644836533,0.364799336175962,0.438668018987505
id00011,0.281183748704657,0.492664325380308,0.226151925915035
id00013,0.769870944769611,0.0778992318278694,0.15222982340252
id00018,0.113491205720529,0.288667197197762,0.597841597081709
id00020,0.618685923423337,0.210833592092077,0.170480484484586
id00023,0.583670443540134,0.147610971529817,0.268718584930049
id00025,0.459900957259561,0.321460547335125,0.218638495405314
id00026,0.179008232710995,0.60707059497755,0.213921172311456
id00040,0.584991067350644,0.22583786451526,0.189171068134096
id00041,0.116881003417778,0.214162824891718,0.668956171690504
id00044,0.129268924766088,0.207819512012533,0.662911563221379
id00046,0.286784763897334,0.558701031266037,0.154514204836629
id00047,0.208517641080955,0.161551642938264,0.629930715980782
id00055,0.101110647635989,0.191409141882186,0.707480210481825
id00058,0.402539837488255,0.461342153964496,0.136118008547249
id00059,0.0910099845961062,0.809522581222886,0.0994674341810082
id00066,0.135558317998087,0.60587805687167,0.258563625130242
id00069,0.172645538264753,0.408847999039356,0.418506462695891
id00071,0.130667121132773,0.648924272518812,0.220408606348415
id00072,0.177953599627175,0.632165575452515,0.18988082492031
id00074,0.0677075143451571,0.677323974740336,0.254968510914507
id00076,0.409692796044005,0.307196764134657,0.283110439821338
id00083,0.264133630027057,0.52671189911311,0.209154470859833
id00085,0.461452324879972,0.481323628678736,0.0572240464412921
id00087,0.469037313061934,0.447551507978048,0.0834111789600182
id00088,0.166781282526645,0.464316528614946,0.368902188858408
id00089,0.12580949124499,0.740546368889711,0.133644139865299
id00092,0.0121998883306053,0.0607303369627722,0.927069774706622
id00096,0.10181547293937,0.782629543022863,0.115554984037766
id00101,0.270887935451677,0.571451581492908,0.157660483055415
id00102,0.39651081336804,0.0728437712998078,0.530645415332152
id00104,0.182656036347205,0.434353222446475,0.38299074120632
id00105,0.149895105216057,0.227862193665589,0.622242701118354
id00110,0.256420496943378,0.31889072786119,0.424688775195431
id00111,0.681459426207289,0.216528958798909,0.102011614993802
id00112,0.2560703418527,0.642754475759724,0.101175182387575
id00114,0.438408740818222,0.541642100761765,0.0199491584200129
id00115,0.347731343668285,0.594178866547172,0.0580897897845426
id00116,0.31558867396525,0.627789919316467,0.0566214067182826
id00118,0.0529090117272008,0.764929148182056,0.182161840090743
id00121,0.269832427522617,0.493119983119091,0.237047589358292
id00124,0.0690969024392063,0.326309931426922,0.604593166133872
id00125,0.2323745501342,0.498628109662589,0.268997340203211
id00126,0.347735443482776,0.513167507461697,0.139097049055527
id00132,0.184738142698562,0.704875719326114,0.110386137975325
id00134,0.777044987114431,0.0999689089780566,0.122986103907512
id00137,0.202552125787474,0.627997806943021,0.169450067269505
id00139,0.22789213822495,0.360818495540459,0.411289366234591
id00140,0.284898008812828,0.475452408893539,0.239649582293632
id00142,0.310262990564493,0.368965728271318,0.320771281164189
id00157,0.0794924999448441,0.666935889363499,0.253571610691656
id00160,0.171661198830907,0.725333972455276,0.103004828713817
id00167,0.304567736022561,0.384756808618729,0.31067545535871
id00173,0.134112218087041,0.141385490660424,0.724502291252535
id00176,0.272315931213545,0.570879538174271,0.156804530612183
id00177,0.0171883291848475,0.038276549767384,0.944535121047769
id00178,0.558916835900231,0.271593576676192,0.169489587423577
id00183,0.127036326084732,0.255718860622125,0.617244813293143
id00184,0.309079821961308,0.363667634427047,0.327252543611645
id00189,0.303787510362291,0.408893133527738,0.287319356109971
id00190,0.227471609809498,0.46871138253365,0.303817007656852
id00191,0.0962148283594478,0.402726539912572,0.50105863172798
id00192,0.276880516325994,0.513764449886365,0.209355033787641
id00194,0.188885753966192,0.363800279143869,0.447313966889939
id00195,0.0824786849734764,0.866390925247476,0.0511303897790473
id00196,0.373530727401244,0.484291826581521,0.142177446017236
id00199,0.2750878818419,0.338125301286145,0.386786816871955
id00203,0.187817896188328,0.32172655023761,0.490455553574062
id00206,0.191279729395749,0.645943819518354,0.162776451085897
id00210,0.755700232208631,0.205209638126446,0.0390901296649231
id00214,0.0549209068095946,0.671353872924281,0.273725220266124
id00215,0.229605713423074,0.653125034762416,0.11726925181451
